Chemical Identifiers,Descriptors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Output,
SMILES,averagemolecularpolarizability_pH_7.4,formalcharge_pH_6.5,tholepolarizability_a_xx_pH_7.4,tholepolarizability_a_yy_pH_7.4,tholepolarizability_a_zz_pH_7.4,atomcount,exactmass,aliphaticatomcount,aromaticatomcount,balabanindex,chainatomcount,dreidingenergy,fusedaliphaticringcount,hararyindex,heteroaromaticringcount,hyperwienerindex,maximalprojectionarea,maximalprojectionradius,maximalprojectionsize,minimalprojectionarea,minimalprojectionradius,ringatomcount,rotatablebondcount,smallestringsize,aliphaticringcountofsize_5,aromaticringcountofsize_5,polarsurfacearea_pH_7.4,asa_ASA_pH_7.4,asa_ASA+_pH_7.4,asa_ASA-_pH_7.4,asa_ASA_H_pH_7.4,asa_ASA_P_pH_7.4,logp,logd_pH_6.5,isoelectricpoint,apKa1,apKb1,averagemicrospeciescharge_Charge_pH_6.5,resonantcount,acceptorcount_pH_7.4,acceptorsitecount_pH_7.4,donorsitecount_pH_6.5,hmopienergy_pH_7.4, IC 50,
CC1(C(F)(F)F)CC(NC(=O)NCC2=CC=C(NS(C)(=O)=O)C(F)=C2)C3=CC=CC=C3O1,42.87,0.0,43.16,31.57,53.88,53.0,475.1,20.0,12.0,1.43,16.0,239.8,0.0,128.4,0.0,16150.0,108.0,9.07,8.38,59.37,5.4,16.0,5.0,6.0,0.0,0.0,93.73,631.2,347.8,283.4,415.6,215.6,2.13,2.04,2.62,7.05,-1.79,-0.22,28.0,5.0,8.0,3.0,60.4,2440,
CC1(C(F)F)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=C(Cl)C=C4O1,42.17,0.0,53.02,43.08,30.42,50.0,435.1,18.0,12.0,1.23,10.0,144.5,0.0,120.2,0.0,11270.0,104.9,9.33,8.73,56.29,5.19,20.0,3.0,6.0,0.0,0.0,79.46,563.7,333.5,230.1,433.8,129.9,3.57,3.57,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,51.1,61,
CC1(C(F)F)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=CC=C4O1,39.73,0.0,27.79,41.81,49.61,50.0,401.2,17.0,12.0,1.26,9.0,145.4,0.0,114.3,0.0,10120.0,101.7,8.76,7.86,54.18,5.19,20.0,3.0,6.0,0.0,0.0,79.46,545.1,351.2,193.9,418.1,127.0,2.97,2.97,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,48.0,160,
CC1(C(F)F)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC=C(Cl)C=C4O1,41.04,0.0,52.24,41.68,29.21,48.0,437.1,18.0,12.0,1.23,10.0,144.2,0.0,120.2,0.0,11270.0,103.7,9.3,9.09,55.31,5.32,20.0,3.0,6.0,0.0,0.0,88.69,564.1,336.2,227.9,410.9,153.3,2.81,2.81,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,55.4,46,
CC1(C(F)F)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC=CC=C4O1,38.58,0.0,26.72,40.32,48.71,48.0,403.1,17.0,12.0,1.26,9.0,145.1,0.0,114.3,0.0,10120.0,99.92,8.73,8.44,53.41,5.38,20.0,3.0,6.0,0.0,0.0,88.69,545.5,353.9,191.6,395.2,150.4,2.2,2.2,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,52.3,1000,
CC1(C(F)F)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=CC=C4O1,43.75,0.0,41.65,35.84,53.77,56.0,446.2,20.0,12.0,1.32,12.0,153.5,0.0,130.3,0.0,15300.0,114.5,9.83,9.81,56.43,5.19,20.0,5.0,6.0,0.0,0.0,102.9,595.4,405.3,190.1,449.0,146.4,1.84,1.84,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,55.37,590,
CC1(C(F)F)CC(NC(=O)NCC2=CC=C(NS(C)(=O)=O)C(F)=C2)C3=CC=CC=C3O1,42.76,0.0,43.14,31.44,53.7,53.0,457.1,19.0,12.0,1.44,15.0,238.8,0.0,121.7,0.0,14880.0,106.0,9.07,8.38,58.8,5.4,16.0,5.0,6.0,0.0,0.0,93.73,624.1,362.0,262.1,433.5,190.6,1.65,1.55,2.62,7.05,-1.79,-0.22,28.0,5.0,8.0,3.0,54.98,10100,
CC1(C2=CC=CC=C2)CCC(NC(=O)NC=3C=CC=C4NN=CC34)C1,36.85,0.0,38.29,48.28,23.97,47.0,334.2,10.0,15.0,1.12,5.0,141.5,0.0,90.79,1.0,6833.0,97.74,8.9,8.47,44.72,4.42,20.0,3.0,5.0,1.0,1.0,69.81,523.4,347.2,176.2,449.0,74.41,3.5,3.5,6.73,12.38,1.1,0.0,198.0,2.0,3.0,3.0,32.7,164,
CC1(CF)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=C(Cl)C=C4O1,42.07,0.0,52.84,43.02,30.34,50.0,417.1,17.0,12.0,1.25,9.0,143.5,0.0,114.0,0.0,10300.0,104.9,9.33,8.21,54.56,5.19,20.0,3.0,6.0,0.0,0.0,79.46,563.8,355.2,208.6,461.9,101.9,3.3,3.3,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,45.68,130,
CC1(CF)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC=C(C(F)(F)F)C=C4O1,41.11,0.0,41.97,52.1,29.26,51.0,453.1,20.0,12.0,1.35,12.0,150.6,0.0,131.4,0.0,14380.0,107.7,9.54,9.15,56.77,5.12,20.0,4.0,6.0,0.0,0.0,88.69,604.7,366.2,238.4,376.8,227.9,2.82,2.82,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,63.14,67,
