Chemical Identifiers,Descriptors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Output,
SMILES,averagemolecularpolarizability_pH_7.4,formalcharge_pH_6.5,tholepolarizability_a_xx_pH_7.4,tholepolarizability_a_yy_pH_7.4,tholepolarizability_a_zz_pH_7.4,atomcount,exactmass,aliphaticatomcount,aromaticatomcount,balabanindex,chainatomcount,dreidingenergy,fusedaliphaticringcount,hararyindex,heteroaromaticringcount,hyperwienerindex,maximalprojectionarea,maximalprojectionradius,maximalprojectionsize,minimalprojectionarea,minimalprojectionradius,ringatomcount,rotatablebondcount,smallestringsize,aliphaticringcountofsize_5,aromaticringcountofsize_5,polarsurfacearea_pH_7.4,asa_ASA_pH_7.4,asa_ASA+_pH_7.4,asa_ASA-_pH_7.4,asa_ASA_H_pH_7.4,asa_ASA_P_pH_7.4,logp,logd_pH_6.5,isoelectricpoint,apKa1,apKb1,averagemicrospeciescharge_Charge_pH_6.5,resonantcount,acceptorcount_pH_7.4,acceptorsitecount_pH_7.4,donorsitecount_pH_6.5,hmopienergy_pH_7.4, IC 50,
CC(NC(=O)NC=1C=CC=C2C=NC=CC12)C3=CC=C(Br)C=C3,35.35,0.0,26.9,33.53,45.61,39.0,369.0,7.0,16.0,1.39,7.0,100.2,0.0,79.1,1.0,5170.0,97.96,8.53,7.13,44.39,4.91,16.0,3.0,6.0,0.0,0.0,54.02,533.6,292.6,241.0,484.3,49.25,3.78,3.78,8.77,12.84,4.7,0.02,198.0,2.0,3.0,2.0,32.33,26,
CC(NC(=O)NC=1C=CC=C2C=NC=CC12)C3=CC=C(C(C)(C)C)C=C3,39.8,0.0,31.27,38.2,49.93,51.0,347.2,10.0,16.0,1.43,10.0,136.4,0.0,94.1,1.0,8338.0,107.3,8.98,8.05,50.15,4.88,16.0,4.0,6.0,0.0,0.0,54.02,601.2,395.1,206.1,552.0,49.25,4.56,4.55,8.77,12.84,4.7,0.02,198.0,2.0,3.0,2.0,32.33,24,
CC(NC(=O)NC=1C=CC=C2C=NC=CC12)C3=CC=C(C(C)(C)C)C=C3C(C)(C)C,47.66,0.0,40.48,44.57,57.94,63.0,403.3,14.0,16.0,1.58,14.0,593.9,0.0,118.9,1.0,11420.0,119.2,9.24,8.16,62.96,5.57,16.0,5.0,6.0,0.0,0.0,54.02,639.6,437.2,202.4,596.2,43.39,6.1,6.1,8.77,12.84,4.7,0.02,198.0,2.0,3.0,2.0,32.33,17,
CC(NC(=O)NC=1C=CC=C2C=NC=CC12)C3=CC=C(C(F)(F)F)C(F)=C3,34.4,0.0,33.46,25.88,43.85,42.0,377.1,11.0,16.0,1.42,11.0,108.9,0.0,100.2,1.0,9087.0,101.0,8.63,7.5,45.46,4.73,16.0,4.0,6.0,0.0,0.0,54.02,569.8,297.0,272.8,392.8,177.0,4.03,4.03,8.77,12.84,4.7,0.02,198.0,2.0,3.0,2.0,54.08,19,
CC(NC(=O)NC=1C=CC=C2C=NC=CC12)C3=CC=C(C(F)(F)F)C=C3,34.29,0.0,25.84,33.28,43.75,42.0,359.1,10.0,16.0,1.43,10.0,108.6,0.0,94.1,1.0,8338.0,100.1,8.58,8.05,46.45,4.75,16.0,4.0,6.0,0.0,0.0,54.02,566.1,295.9,270.2,413.5,152.6,3.89,3.89,8.77,12.84,4.7,0.02,198.0,2.0,3.0,2.0,48.59,22,
CC(O)C=1C(C(=O)NC2CCCC2)=NOC1C3=CC=C(C(F)(F)F)C=C3,35.55,0.0,30.72,25.72,50.22,45.0,368.1,15.0,11.0,1.6,10.0,95.89,0.0,96.74,1.0,6994.0,96.95,8.99,7.08,45.29,4.63,16.0,5.0,5.0,1.0,1.0,75.36,553.4,319.3,234.1,386.2,167.2,3.25,3.25,5.25,12.72,-2.24,0.0,26.0,3.0,4.0,2.0,45.58,1000,
CC(O)C1=CC=CC=C1C2=CC=C3NC(C=CC4=CC=C(C(C)(C)C)C=C4)=NC3=C2,48.24,0.0,43.14,32.08,69.49,58.0,396.2,9.0,21.0,1.11,9.0,200.6,0.0,115.9,1.0,14570.0,124.2,10.59,10.33,49.45,4.94,21.0,5.0,5.0,0.0,1.0,48.91,653.0,460.4,192.7,601.2,51.9,6.67,6.64,8.42,11.59,5.23,0.05,187.0,2.0,2.0,2.0,38.15,12,
CC(O)C1=CC=CC=C1C2=CC=C3NC(C=CC4=CC=C(C(F)(F)F)C=C4)=NC3=C2,42.55,0.0,26.9,38.4,62.34,49.0,408.1,9.0,21.0,1.11,9.0,172.1,0.0,115.9,1.0,14570.0,117.2,10.18,9.83,46.65,4.94,21.0,5.0,5.0,0.0,1.0,48.91,622.7,361.4,261.3,467.5,155.1,6.0,5.98,8.42,11.59,5.23,0.05,187.0,2.0,2.0,2.0,54.41,45,
CC(O)C1=CN=C(C2=CCN(C(=O)NC3=CC=C(C(F)(F)F)C=C3)CC2)C(Cl)=C1,40.58,0.0,37.49,33.59,50.65,48.0,425.1,17.0,12.0,1.26,11.0,138.0,0.0,108.7,1.0,13710.0,109.3,10.37,8.2,46.27,4.69,18.0,4.0,6.0,0.0,0.0,65.46,610.2,345.9,264.4,443.3,166.9,3.78,3.78,7.94,13.32,2.58,0.0,40.0,3.0,4.0,2.0,52.6,84.8,
CC(O)C1=CN=C(C2=CCN(C(=O)NC3=CC=C(C(F)(F)F)C=N3)CC2)C(Cl)=C1,39.47,0.0,37.01,37.61,43.81,47.0,426.1,17.0,12.0,1.26,11.0,195.4,0.0,108.7,2.0,13710.0,106.2,10.22,8.91,47.88,4.87,18.0,4.0,6.0,0.0,0.0,78.35,604.2,354.8,249.5,422.8,181.4,3.16,3.16,7.43,11.75,2.99,0.0,166.0,4.0,5.0,2.0,53.24,361.6,
CC(O)C1=NC2=CC(NC(=O)C3=CC=C(C(C)(C)C)C=C3)=CC=C2S1,38.49,0.0,40.5,44.0,30.97,47.0,354.1,10.0,15.0,1.28,10.0,143.2,0.0,89.4,1.0,7391.0,107.7,9.85,6.27,46.22,4.39,15.0,4.0,5.0,0.0,1.0,62.22,600.8,403.2,197.6,512.2,88.58,4.62,4.62,6.05,10.86,1.26,0.0,198.0,3.0,4.0,2.0,33.3,223,
CCC(=CC1=CC=C(C(C)(C)C)C=C1)C(=O)NC2=CC=C3C(=C2)OCCO3,42.21,0.0,38.15,32.09,56.39,54.0,365.2,15.0,12.0,1.38,11.0,278.2,0.0,98.74,0.0,9597.0,109.2,10.02,6.59,43.78,4.61,16.0,5.0,6.0,0.0,0.0,47.56,619.6,463.8,155.8,564.2,55.41,5.47,5.47,6.66,14.42,-1.09,0.0,11.0,3.0,4.0,1.0,34.35,210,
CCC=CCC=CCC=CCCCCCCCC(=O)NCCC1=CNC2=CC=C(O)C=C12,52.81,0.0,52.47,40.67,65.3,72.0,436.3,23.0,9.0,1.31,23.0,532.5,0.0,108.7,1.0,34220.0,143.6,13.14,11.64,54.43,5.77,9.0,16.0,5.0,0.0,1.0,65.12,845.6,611.0,234.6,744.0,101.6,7.29,7.28,4.65,9.56,-0.25,0.0,148.0,2.0,3.0,3.0,30.85,470,
CCC=CCC=CCC=CCCCCCCCCOC(=O)NCCC1=CNC2=CC=C(O)C=C12,56.82,0.0,50.3,42.01,78.14,76.0,466.3,25.0,9.0,1.21,25.0,535.3,0.0,117.0,1.0,44790.0,151.8,14.63,9.1,70.83,6.78,9.0,18.0,5.0,0.0,1.0,74.35,907.0,645.1,262.0,787.2,119.8,8.08,8.08,0.0,9.56,-5.51,0.0,158.0,2.0,3.0,3.0,35.22,10000,
CCC=CCOC1=NC(C(F)(F)F)=CC=C1CNC(=O)C(C)C2=CC=C(NS(C)(=O)=O)C(F)=C2,47.73,0.0,63.47,46.06,33.66,59.0,503.2,22.0,12.0,1.75,22.0,307.6,0.0,134.3,1.0,21440.0,130.1,10.09,7.12,62.9,6.29,12.0,10.0,6.0,0.0,0.0,94.59,792.2,456.4,335.8,545.3,246.9,3.86,3.76,2.98,7.05,-1.08,-0.22,117.0,6.0,9.0,2.0,59.84,43,
CCC(CO)NC(=O)C1=NOC(C2=CC=C(C(F)(F)F)C(F)=C2)=C1CO,33.42,0.0,22.58,31.92,45.75,42.0,376.1,15.0,11.0,1.99,15.0,99.26,0.0,95.73,1.0,7083.0,93.71,8.48,7.77,44.85,4.46,11.0,7.0,5.0,0.0,1.0,95.59,541.5,311.0,230.5,315.3,226.2,1.87,1.87,5.21,12.71,-2.51,0.0,26.0,4.0,5.0,3.0,55.25,158.49,
CCC(CO)NC(=O)C1=NOC(C2=CC=C(C(F)(F)F)C=C2)=C1CO,33.3,0.0,45.73,31.49,22.67,42.0,358.1,14.0,11.0,1.78,14.0,85.29,0.0,89.55,1.0,6500.0,96.69,8.49,7.53,42.02,4.54,11.0,7.0,5.0,0.0,1.0,95.59,550.8,322.7,228.1,347.8,203.0,1.72,1.72,5.24,12.72,-2.46,0.0,26.0,4.0,5.0,3.0,49.76,1584.89,
CCC1CC2CN3CCC4=C(NC5=CC=C(OC)C=C45)C(C(=O)OC)(C2)C13,42.11,1.0,54.62,41.45,30.26,55.0,368.2,18.0,9.0,1.5,8.0,107.2,3.0,114.7,1.0,4891.0,104.6,8.15,7.87,55.9,5.41,19.0,4.0,5.0,0.0,1.0,55.76,543.6,430.9,112.7,494.5,49.04,3.36,1.4,12.55,16.65,8.47,0.99,148.0,2.0,3.0,2.0,26.0,50000,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)C(N4CCCOCC4)C3)C5=CC=C(F)C=C5O1,50.51,1.0,61.68,49.41,40.45,66.0,482.2,23.0,12.0,1.04,8.0,247.8,0.0,148.0,0.0,22210.0,116.5,8.82,9.26,66.75,5.58,27.0,3.0,6.0,0.0,0.0,91.93,630.1,458.3,171.8,512.8,117.2,2.68,2.29,9.63,12.7,6.67,0.59,12.0,5.0,7.0,4.0,49.57,610,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)C(N4CCOCC4)C3)C5=CC=C(F)C=C5O1,48.67,0.0,58.55,46.75,40.72,63.0,468.2,22.0,12.0,1.07,8.0,226.0,0.0,142.2,0.0,19960.0,117.1,8.72,9.03,66.61,5.6,26.0,3.0,6.0,0.0,0.0,91.93,629.9,459.6,170.3,508.4,121.5,2.62,2.6,8.93,12.7,5.23,0.05,12.0,5.0,7.0,3.0,49.57,1300,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC(F)=CC=C4O1,39.62,0.0,49.68,41.53,27.66,50.0,383.2,16.0,12.0,1.28,8.0,142.6,0.0,108.4,0.0,9183.0,99.52,8.92,7.5,44.47,5.0,20.0,2.0,6.0,0.0,0.0,79.46,566.3,387.1,179.2,449.2,117.1,3.0,3.0,4.98,13.08,-3.05,0.0,12.0,3.0,5.0,3.0,42.65,140,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=C(C(F)(F)F)C=C4O1,42.12,0.0,30.46,43.1,52.81,53.0,433.2,19.0,12.0,1.17,11.0,150.0,0.0,125.3,0.0,13300.0,106.0,8.92,9.0,53.31,5.68,20.0,3.0,6.0,0.0,0.0,79.46,620.2,375.5,244.8,429.8,190.5,3.73,3.73,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,53.42,36,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=C(C(F)(F)F)N=C4O1,41.57,0.0,29.67,43.45,51.59,52.0,434.2,19.0,12.0,1.17,11.0,145.8,0.0,125.3,1.0,13300.0,104.9,8.91,8.92,53.01,5.67,20.0,3.0,6.0,0.0,0.0,92.35,619.9,349.8,270.1,412.7,207.2,3.5,3.5,5.93,13.08,-1.17,0.0,120.0,4.0,6.0,3.0,54.05,38,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=C(Cl)C(F)=C4O1,42.06,0.0,52.9,42.95,30.33,50.0,417.1,17.0,12.0,1.26,9.0,143.1,0.0,114.6,0.0,10230.0,103.6,8.92,8.35,48.76,5.6,20.0,2.0,6.0,0.0,0.0,79.46,582.3,354.1,228.1,468.7,113.6,3.6,3.6,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,45.75,14,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=C(Cl)C=C4O1,41.96,0.0,52.86,42.73,30.28,50.0,399.1,16.0,12.0,1.27,8.0,142.7,0.0,108.2,0.0,9327.0,101.9,8.92,8.35,48.75,5.6,20.0,2.0,6.0,0.0,0.0,79.46,578.7,366.9,211.8,490.9,87.83,3.46,3.46,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,40.26,1300,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=C(F)C(Cl)=C4O1,41.77,0.0,50.83,44.18,30.31,50.0,417.1,17.0,12.0,1.26,9.0,143.3,0.0,114.6,0.0,10230.0,104.1,8.92,7.85,46.56,5.27,20.0,2.0,6.0,0.0,0.0,79.46,578.5,354.0,224.5,457.2,121.3,3.6,3.6,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,45.74,350,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=C(F)C(F)=C4O1,39.74,0.0,27.9,41.7,49.63,50.0,401.2,17.0,12.0,1.26,9.0,142.8,0.0,114.6,0.0,10230.0,101.1,8.92,7.85,46.45,5.27,20.0,2.0,6.0,0.0,0.0,79.46,571.6,354.0,217.7,425.1,146.5,3.14,3.14,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,48.14,20,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=C(F)C=C4O1,39.64,0.0,49.54,41.69,27.7,50.0,383.2,16.0,12.0,1.27,8.0,142.7,0.0,108.2,0.0,9327.0,99.37,8.92,7.85,46.44,5.27,20.0,2.0,6.0,0.0,0.0,79.46,568.1,376.2,191.9,447.3,120.8,3.0,3.0,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,42.65,1600,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=CC(C(F)(F)F)=C4O1,41.8,0.0,44.01,50.84,30.55,53.0,433.2,19.0,12.0,1.21,11.0,150.6,0.0,126.8,0.0,12480.0,105.4,8.92,7.49,48.61,5.3,20.0,3.0,6.0,0.0,0.0,79.46,600.4,366.0,234.4,431.3,169.1,3.73,3.73,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,53.42,3600,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CC3)C4=CC=CC(F)=C4O1,39.62,0.0,49.43,41.67,27.76,50.0,383.2,16.0,12.0,1.28,8.0,142.8,0.0,108.7,0.0,9137.0,99.54,8.92,7.43,44.59,5.0,20.0,2.0,6.0,0.0,0.0,79.46,564.8,380.5,184.4,451.6,113.2,3.0,3.0,4.98,13.08,-3.06,0.0,12.0,3.0,5.0,3.0,42.65,56,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC(F)=CC=C4O1,38.5,0.0,48.81,40.21,26.49,48.0,385.1,16.0,12.0,1.28,8.0,142.5,0.0,108.4,0.0,9183.0,94.62,8.4,8.96,50.76,4.95,20.0,2.0,6.0,0.0,0.0,88.69,566.9,389.6,177.2,427.9,139.1,2.24,2.24,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,46.95,770,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC=C(C(F)(F)F)C=C4O1,40.99,0.0,29.25,41.67,52.06,51.0,435.1,19.0,12.0,1.17,11.0,149.9,0.0,125.3,0.0,13300.0,101.6,8.4,10.76,59.67,5.67,20.0,3.0,6.0,0.0,0.0,88.69,620.9,378.0,242.9,408.5,212.4,2.97,2.97,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,57.72,94,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC=C(Cl)C(F)=C4O1,40.93,0.0,52.1,41.52,29.16,48.0,419.1,17.0,12.0,1.26,9.0,143.0,0.0,114.6,0.0,10230.0,98.5,8.4,9.87,55.56,5.55,20.0,2.0,6.0,0.0,0.0,88.69,582.9,356.6,226.3,447.4,135.5,2.84,2.84,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,50.05,21,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC=C(Cl)C=C4O1,40.83,0.0,52.11,41.35,29.03,48.0,401.1,16.0,12.0,1.27,8.0,142.6,0.0,108.2,0.0,9327.0,96.91,8.4,9.87,55.59,5.55,20.0,2.0,6.0,0.0,0.0,88.69,579.4,369.5,209.9,469.6,109.8,2.7,2.7,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,44.56,56,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC=C(F)C(F)=C4O1,38.6,0.0,26.78,40.29,48.73,48.0,403.1,17.0,12.0,1.26,9.0,142.6,0.0,114.6,0.0,10230.0,95.77,8.4,9.38,52.54,5.22,20.0,2.0,6.0,0.0,0.0,88.69,572.3,356.5,215.8,403.8,168.5,2.38,2.38,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,52.43,120,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC=C(F)C=C4O1,38.49,0.0,48.73,40.08,26.65,48.0,385.1,16.0,12.0,1.27,8.0,142.6,0.0,108.2,0.0,9327.0,94.34,8.44,9.89,52.53,5.22,20.0,2.0,6.0,0.0,0.0,88.69,568.7,378.7,190.0,426.0,142.8,2.24,2.24,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,46.95,56,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)CO3)C4=CC=CC=C4O1,38.39,0.0,40.18,48.53,26.44,48.0,367.2,15.0,12.0,1.31,7.0,142.8,0.0,102.7,0.0,8239.0,93.18,8.44,9.4,50.8,4.95,20.0,2.0,6.0,0.0,0.0,88.69,561.9,385.4,176.5,452.2,109.7,2.09,2.09,4.27,11.48,-2.95,0.0,24.0,4.0,6.0,3.0,41.46,440,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC(F)=CC=C4O1,43.65,0.0,41.46,35.89,53.59,56.0,428.2,19.0,12.0,1.15,11.0,146.2,0.0,124.2,0.0,14000.0,118.3,9.43,8.04,51.54,4.97,20.0,4.0,6.0,0.0,0.0,102.9,612.6,439.9,172.7,477.9,134.7,1.87,1.87,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,50.01,330,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=C(Br)C=C4O1,47.0,0.0,57.36,45.5,38.14,56.0,488.1,19.0,12.0,1.14,11.0,145.4,0.0,124.0,0.0,14200.0,122.6,9.43,8.04,57.43,5.69,20.0,4.0,6.0,0.0,0.0,102.9,631.5,412.4,219.1,523.0,108.6,2.49,2.49,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,44.53,97,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=C(C(F)(F)F)C=C4O1,46.85,0.0,36.05,45.61,58.89,59.0,478.2,22.0,12.0,1.24,14.0,153.6,0.0,141.6,0.0,19550.0,125.1,9.43,8.05,60.6,5.7,20.0,5.0,6.0,0.0,0.0,102.9,669.1,428.9,240.2,457.9,211.2,2.6,2.6,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,60.79,21,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=C(C(F)(F)F)N=C4O1,46.21,0.0,35.63,45.26,57.73,58.0,479.2,22.0,12.0,1.24,14.0,149.4,0.0,141.6,1.0,19550.0,123.7,9.34,9.64,60.75,5.64,20.0,5.0,6.0,0.0,0.0,115.8,668.9,408.3,260.6,441.0,227.9,2.37,2.37,5.67,12.58,-1.17,0.0,160.0,5.0,7.0,4.0,61.41,1500,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=C(Cl)C(F)=C4O1,45.89,0.0,44.1,37.35,56.23,56.0,462.1,20.0,12.0,1.31,12.0,146.7,0.0,130.6,0.0,15460.0,123.1,9.43,8.04,56.29,5.57,20.0,4.0,6.0,0.0,0.0,102.9,630.5,407.3,223.2,496.3,134.2,2.47,2.47,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,53.11,1200,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=C(Cl)C=C4O1,45.81,0.0,37.3,44.1,56.04,56.0,444.2,19.0,12.0,1.14,11.0,146.3,0.0,124.0,0.0,14200.0,121.3,9.43,8.04,56.33,5.57,20.0,4.0,6.0,0.0,0.0,102.9,627.0,420.2,206.9,518.5,108.5,2.33,2.33,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,47.63,76,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=C(F)C(Cl)=C4O1,45.73,0.0,45.04,37.03,55.13,56.0,462.1,20.0,12.0,1.31,12.0,146.8,0.0,130.6,0.0,15460.0,123.1,9.43,8.04,53.23,5.24,20.0,4.0,6.0,0.0,0.0,102.9,626.9,407.3,219.6,484.9,142.0,2.47,2.47,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,53.11,200,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=C(F)C=C4O1,43.65,0.0,41.55,35.69,53.7,56.0,428.2,19.0,12.0,1.14,11.0,146.3,0.0,124.0,0.0,14200.0,118.3,9.43,8.04,53.31,5.24,20.0,4.0,6.0,0.0,0.0,102.9,616.4,429.4,187.0,474.9,141.5,1.87,1.87,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,50.01,94,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=CC(C(F)(F)F)=C4O1,46.54,0.0,36.23,46.39,56.98,59.0,478.2,22.0,12.0,1.27,14.0,154.2,0.0,143.2,0.0,18520.0,124.9,9.43,8.05,52.23,5.02,20.0,5.0,6.0,0.0,0.0,102.9,649.1,419.4,229.7,459.2,189.9,2.6,2.6,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,60.79,1300,
CC1(C)CC(NC(=O)NC2=CC=C3C(=C2)NC(=O)N(CCO)C3)C4=CC=CC(F)=C4O1,43.64,0.0,36.29,41.81,52.83,56.0,428.2,19.0,12.0,1.15,11.0,146.4,0.0,124.5,0.0,13960.0,118.3,9.43,8.05,51.93,4.97,20.0,4.0,6.0,0.0,0.0,102.9,613.2,433.8,179.4,479.2,133.9,1.87,1.87,5.03,12.58,-2.55,0.0,16.0,4.0,6.0,4.0,50.01,510,
CC1(C)CC(NC(=O)NC=2C=CC=C3NN=CC23)C4=CC=C(F)C=C4O1,36.0,0.0,39.79,43.33,24.89,45.0,354.1,11.0,15.0,1.18,7.0,149.6,0.0,98.6,1.0,6579.0,89.93,8.03,8.29,45.64,5.09,19.0,2.0,5.0,0.0,1.0,79.04,529.9,340.6,189.4,418.3,111.7,2.78,2.78,6.71,12.36,1.1,0.0,198.0,3.0,4.0,3.0,42.5,16,
CC1(C)CC(NC(=O)NC2=CC=CC3=C2CC(O)CC3)C4=CC=C(F)C=C4O1,41.08,0.0,45.28,48.82,29.15,53.0,384.2,16.0,12.0,1.33,8.0,145.4,0.0,109.6,0.0,8505.0,100.0,8.12,9.25,53.82,5.17,20.0,2.0,6.0,0.0,0.0,70.59,562.4,399.0,163.3,462.2,100.2,3.52,3.52,5.55,13.48,-2.73,0.0,4.0,3.0,4.0,3.0,40.0,7,
CC1(C)CC(NC(=O)NC=2C=CC=C3C=NC=CC23)C4=CC=C(OC(F)(F)F)C=C4O1,41.4,0.0,28.2,44.57,51.43,51.0,431.1,15.0,16.0,1.2,11.0,175.2,0.0,125.4,1.0,12850.0,101.8,8.15,10.22,59.94,6.04,20.0,4.0,6.0,0.0,0.0,72.48,624.7,345.3,279.4,445.3,179.4,4.52,4.51,8.77,12.83,4.7,0.02,198.0,4.0,5.0,2.0,57.21,6,
CC1(C)CC(NC(=O)NC=2C=CC=C3C=NC=CC23)C4=CC=CC=C4O1,37.8,0.0,45.68,42.24,25.49,47.0,347.2,10.0,16.0,1.17,6.0,143.5,0.0,98.38,1.0,6602.0,92.43,8.08,8.79,47.45,4.83,20.0,2.0,6.0,0.0,0.0,63.25,545.9,352.7,193.2,491.8,54.12,3.09,3.08,8.77,12.83,4.7,0.02,198.0,3.0,4.0,2.0,36.64,4,
CC1(C)CC(NC(=O)NCC2=CC=C(NS(C)(=O)=O)C(F)=C2)C3=CC(F)=CC=C3O1,42.65,0.0,43.06,53.52,31.37,53.0,439.1,18.0,12.0,1.46,14.0,233.3,0.0,115.7,0.0,13610.0,113.5,9.56,7.37,55.28,5.16,16.0,4.0,6.0,0.0,0.0,93.73,645.4,398.3,247.1,466.9,178.4,1.68,1.58,2.62,7.05,-1.79,-0.22,28.0,5.0,8.0,3.0,49.62,7591,
CC1(C)CC(NC(=O)NCC2=CC=C(NS(C)(=O)=O)C(F)=C2)C3=CC=C(C(F)(F)F)C=C3O1,45.14,0.0,57.09,45.01,33.32,56.0,489.1,21.0,12.0,1.36,17.0,240.6,0.0,132.9,0.0,18990.0,121.2,9.56,7.88,62.63,6.16,16.0,5.0,6.0,0.0,0.0,93.73,699.8,386.7,313.0,447.6,252.1,2.41,2.32,2.62,7.05,-1.79,-0.22,28.0,5.0,8.0,3.0,60.4,109,
CC1(C)CC(NC(=O)NCC2=CC=C(NS(C)(=O)=O)C(F)=C2)C3=CC=C(C(F)(F)F)N=C3O1,44.54,0.0,56.44,44.53,32.65,55.0,490.1,21.0,12.0,1.36,17.0,236.4,0.0,132.9,1.0,18990.0,118.8,9.56,7.79,61.19,6.17,16.0,5.0,6.0,0.0,0.0,106.6,699.6,379.3,320.3,430.7,268.9,2.18,2.08,3.01,7.05,-1.08,-0.22,136.0,6.0,9.0,3.0,61.02,32800,
CC1(C)CC(NC(=O)NCC2=CC=C(NS(C)(=O)=O)C(F)=C2)C3=CC=C(Cl)C=C3O1,44.93,0.0,45.05,56.95,32.8,53.0,455.1,18.0,12.0,1.46,14.0,233.4,0.0,115.6,0.0,13790.0,116.9,9.56,7.37,59.16,5.66,16.0,4.0,6.0,0.0,0.0,93.73,658.3,378.2,280.0,508.8,149.4,2.14,2.05,2.62,7.05,-1.79,-0.22,28.0,5.0,8.0,3.0,47.24,602,
CC1(C)CC(NC(=O)NCC2=CC=C(NS(C)(=O)=O)C(F)=C2)C3=CC=C(F)C(Cl)=C3O1,44.81,0.0,44.26,33.42,56.76,53.0,473.1,19.0,12.0,1.44,15.0,233.9,0.0,122.1,0.0,15020.0,118.1,9.61,7.61,56.84,5.34,16.0,4.0,6.0,0.0,0.0,93.73,658.1,365.3,292.8,475.2,182.9,2.28,2.19,2.62,7.05,-1.79,-0.22,28.0,5.0,8.0,3.0,52.72,358,
